batch_size,avg_latency_ms,peak_memory_mb
1,3.64909,819.562
2,5.0597,825.562
3,6.2183,837.562
4,7.03186,861.562
5,9.03772,885.562
6,10.1282,909.562
7,11.2762,945.562
8,12.1447,981.562
9,12.9842,1017.56
10,16.3008,1061.56
11,17.2356,1109.56
12,18.6197,1149.56
13,19.5519,1197.56
14,20.5132,1259.56
15,21.7461,1317.56
16,22.7984,1377.56
17,23.8725,1949.56
18,24.5123,1517.56
19,28.5398,2101.56
20,29.9028,2165.56
21,31.392,2253.56
22,32.2657,2333.56
23,33.5287,2417.56
24,34.206,2501.56
25,35.6071,2597.56
26,36.4688,2693.56
27,37.2755,2797.56
28,39.9641,2897.56
29,40.8709,3009.56
30,42.2322,3113.56
31,43.0962,3229.56
32,44.6802,3349.56
33,46.0272,3461.56
34,46.9781,3589.56
35,47.2962,3721.56
36,48.294,3845.56
37,52.5225,3985.56
38,53.1051,4113.56
39,54.0101,4253.56
40,54.9983,4403.56
41,56.4864,4541.56
42,57.3321,4697.56
43,58.9527,4853.56
44,59.8881,5009.56
45,60.7754,5165.56
46,63.6563,5341.56
47,64.3889,5501.56
48,65.8395,5669.56
49,67.295,5849.56
50,68.3995,6037.56
51,69.7818,6209.56
52,70.6217,6389.56
53,71.577,6581.56
54,72.3623,6777.56
55,76.4856,6965.56
56,77.2492,7177.56
57,78.4101,7373.56
58,79.9093,7577.56
59,80.3999,7781.56
60,82.0456,7997.56
61,83.5517,8213.56
62,84.819,8437.56
63,85.2971,8657.56
64,86.9494,8885.56
65,87.9422,9117.56
66,88.8795,9349.56
67,90.317,9581.56
68,91.2457,9825.56
69,93.1229,10069.6
70,93.6595,10321.6
71,94.5343,10569.6
72,95.0571,10821.6
73,101.523,12051.6
74,102.88,12361.6
75,103.526,12621.6
76,104.346,12885.6
77,105.213,13161.6
78,106.865,13441.6
79,108.201,13713.6
80,109.175,13997.6
81,110.065,14277.6
82,111.244,14565.6
83,112.256,14861.6
84,112.915,15161.6
85,114.221,15461.6
86,115.137,15753.6
87,116.508,16053.6
88,117.608,16373.6
89,117.922,16681.6
90,119.077,16997.6
91,124.022,17313.6
92,125.141,17637.6
93,125.998,17961.6
94,127.046,18293.6
95,128.086,18629.6
96,129.152,18797.6
97,130.365,19293.6
98,131.42,19641.6
99,132.216,19997.6
100,132.916,20345.6
101,134.889,20693.6
102,135.68,21045.6
103,137.099,21405.6
104,138.169,21765.6
105,139.207,22137.6
106,140.133,22513.6
107,141.022,22881.6
108,142.135,23269.6
109,143.044,23653.6
110,147.693,24041.6
111,148.853,24415.6
112,149.917,24813.6
113,150.862,25209.6
114,152.418,25613.6
115,153.952,26013.6
116,155.227,26421.6
117,156.076,26829.6
118,156.83,27237.6
119,158.199,27657.6
120,159.191,28077.6
121,160.841,28497.6
122,161.976,28941.6
123,163.481,29361.6
124,163.976,29801.6
125,164.583,30229.6
126,165.61,30669.6
127,168.098,31111.6
128,173.35,31565.6
129,174.061,32017.6
130,175.09,32477.6
131,175.852,32925.6
132,177.152,33381.6
133,177.899,33849.6
134,179.057,34317.6
135,180.09,34785.6
136,181.905,35273.6
137,182.718,35745.6
138,183.732,36233.6
139,184.466,36713.6
140,186.293,37197.6
141,187.94,37697.6
142,188.927,38181.6
143,190.156,38685.6
144,191.64,39189.6
145,191.896,39693.6
146,196.648,40197.6
147,198.165,40713.6
148,199.197,41229.6
149,199.625,41753.6
150,200.798,42273.6
151,202.343,42805.6
152,203.665,43337.6
153,204.628,43857.6
154,205.712,44397.6
155,206.522,44941.6
156,207.625,45485.6
157,208.297,46029.6
158,210.437,46585.6
159,211.207,47141.6
160,211.838,47685.6
161,212.779,48249.6
1,24.0955,809.562
2,25.3391,819.562
3,26.4518,823.562
4,28.0434,821.562
5,29.1311,813.562
6,30.2601,825.562
7,31.7281,823.562
8,32.514,823.562
9,33.3807,823.562
10,36.213,823.562
11,37.6506,817.562
12,38.8474,825.562
13,39.0898,821.562
14,40.1667,827.562
15,41.5893,831.562
16,43.1041,827.562
17,44.1151,831.562
18,45.0614,1333.56
19,49.0143,1341.56
20,50.8257,1341.56
21,51.7328,1343.56
22,53.0318,1343.56
23,54.286,1347.56
24,55.6015,1335.56
25,56.704,1337.56
26,57.3292,1341.56
27,57.9415,1349.56
28,61.0379,1339.56
29,61.6164,1347.56
30,62.9161,1351.56
31,63.6717,1351.56
32,65.0761,1349.56
33,65.2366,1353.56
34,66.4939,1349.56
35,66.7523,1351.56
36,68.518,1347.56
37,72.7099,1343.56
38,72.9558,1355.56
39,73.9642,1353.56
40,74.0579,1357.56
41,76.3867,1357.56
42,77.1087,1347.56
43,78.5349,1355.56
44,79.439,1347.56
45,80.3717,1359.56
46,83.2954,1361.56
47,84.2093,1361.56
48,86.3058,1357.56
49,86.7869,1359.56
50,87.9391,1359.56
51,89.3874,1363.56
52,91.3896,1351.56
53,91.7092,1361.56
54,92.2859,1361.56
55,95.3235,1357.56
56,96.6498,1363.56
57,96.8657,1367.56
58,99.1427,1367.56
59,100.953,1367.56
60,101.992,1357.56
61,102.981,1365.56
62,104.024,1361.56
63,104.675,1371.56
64,179.827,1367.56
65,106.392,1367.56
66,108.308,1371.56
67,109.66,1361.56
68,109.821,1361.56
69,112.585,1373.56
70,112.696,1371.56
71,113.634,1371.56
72,114.484,1371.56
73,122.478,2395.56
74,124.784,2397.56
75,125.34,2401.56
76,126.245,2401.56
77,126.586,2399.56
78,128.692,2399.56
79,129.856,2395.56
80,130.946,2403.56
81,131.651,2405.56
82,133.369,2401.56
83,134.319,2405.56
84,134.437,2397.56
85,136.083,2403.56
86,138.379,2407.56
87,138.552,2403.56
88,140.016,2405.56
89,140.416,2401.56
90,140.972,2405.56
91,145.955,2403.56
92,146.703,2403.56
93,147.53,2403.56
94,148.674,2407.56
95,150.002,2409.56
96,148.882,2401.56
97,152.571,2409.56
98,152.631,2415.56
99,153.962,2411.56
100,155.182,2411.56
101,155.895,2403.56
102,156.542,2417.56
103,158.486,2417.56
104,158.731,2405.56
105,160.624,2419.56
106,161.277,2419.56
107,162.446,2419.56
108,162.996,2413.56
109,164.555,2421.56
110,169.508,2421.56
111,169.949,2421.56
112,171.843,2419.56
113,172.356,2411.56
114,174.452,2423.56
115,174.925,2413.56
116,176.128,2425.56
117,176.631,2413.56
118,177.4,2417.56
119,178.526,2423.56
120,180.946,2427.56
121,181.519,2423.56
122,182.513,2425.56
123,184.2,2425.56
124,185.42,2429.56
125,186.553,2429.56
126,186.599,2431.56
127,187.33,2419.56
128,191.756,2431.56
129,191.971,2421.56
130,193.455,2433.56
131,194.596,2421.56
132,195.48,2421.56
133,196.201,2427.56
134,197.797,2423.56
135,199.268,2431.56
136,199.648,2425.56
137,200.94,2437.56
138,202.057,2425.56
139,202.048,2433.56
140,204.085,2435.56
141,205.722,2435.56
142,206.973,2439.56
143,209.57,2429.56
144,209.58,2437.56
145,210.44,2437.56
146,214.544,2437.56
147,215.408,2433.56
148,216.065,2443.56
149,217.249,2439.56
150,218.348,2441.56
151,219.87,2445.56
152,220.734,2433.56
153,221.882,2433.56
154,223.011,2443.56
155,224.244,2443.56
156,225.029,2443.56
157,225.99,2437.56
158,228.407,2437.56
159,228.328,2445.56
160,229.534,2437.56
161,230.728,2451.56
162,232.412,2447.56
163,232.336,2439.56
164,237.657,2449.56
165,237.947,2453.56
166,237.906,2449.56
167,240.696,2445.56
168,240.541,2443.56
169,242.129,2451.56
170,243.399,2445.56
171,244.489,2453.56
172,244.997,2449.56
173,246.465,2453.56
174,247.592,2453.56
175,248.852,2447.56
176,250.236,2455.56
177,251.189,2447.56
178,254.292,3481.56
179,253.005,2457.56
180,254.276,2461.56
181,254.958,2461.56
182,259.578,2455.56
183,260.854,2451.56
184,261.84,2451.56
185,263.852,3477.56
186,263.729,2453.56
187,264.967,2461.56
188,266.649,2457.56
189,267.686,2463.56
190,268.147,2467.56
191,269.485,2467.56
192,271.055,2457.56
193,271.862,2465.56
194,276.568,3493.56
195,276.399,3493.56
196,278.398,3495.56
197,279.527,3491.56
198,279.324,3491.56
199,281.091,3485.56
200,282.04,3489.56
201,286.289,3497.56
202,286.767,3497.56
203,288.798,3499.56
204,289.743,3499.56
205,291.253,3491.56
206,292.378,3501.56
207,293.389,3489.56
208,294.212,3489.56
209,295.627,3499.56
210,296.746,3499.56
211,297.881,3503.56
212,298.883,3503.56
213,300.049,3505.56
214,301.036,3501.56
215,301.882,3501.56
216,302.329,3495.56
217,303.901,3503.56
218,304.688,3499.56
219,308.593,3503.56
220,310.079,3505.56
221,311.659,3501.56
222,314.637,3505.56
223,316.619,3503.56
224,317.378,3511.56
225,318.336,3511.56
226,320.408,3511.56
227,321.185,3505.56
228,321.272,3509.56
229,322.398,3509.56
230,323.199,3515.56
231,323.702,3511.56
232,325.232,3511.56
233,325.544,3511.56
234,327.876,3513.56
235,328.654,3505.56
236,330.126,3517.56
237,334.308,3511.56
238,335.611,3511.56
239,336.867,3511.56
240,337.57,3519.56
241,340.052,3521.56
242,340.297,3517.56
243,341.466,3513.56
244,342.746,3523.56
245,343.623,3519.56
246,345.547,3511.56
247,345.456,3519.56
248,346.579,3521.56
249,347.636,3521.56
250,349.661,3525.56
251,349.838,4551.56
252,351.164,4539.56
253,352.929,4547.56
254,353.458,4547.56
255,358.907,4553.56
256,358.793,4549.56
257,359.714,4549.56
258,361.485,4551.56
259,362.611,4543.56
260,363.359,4551.56
261,364.61,4543.56
262,365.66,4553.56
263,366.955,4557.56
264,367.439,4545.56
265,368.611,4547.56
266,370.945,4555.56
267,370.959,4547.56
268,372.996,4559.56
269,374.027,4561.56
270,374.943,4561.56
271,375.608,4557.56
272,377.146,4559.56
273,380.972,4563.56
274,382.375,4563.56
275,383.326,4563.56
276,384.787,4553.56
277,385.226,4557.56
278,386.287,4553.56
279,387.703,4567.56
280,389.878,4567.56
281,390.486,4555.56
282,391.117,4555.56
283,392.027,4557.56
284,392.907,4565.56
285,395.384,4557.56
286,395.713,4571.56
287,395.53,4559.56
288,398.552,4567.56
289,398.842,4563.56
290,399.963,4569.56
291,401.074,4573.56
292,405.582,4573.56
293,406.588,4575.56
294,407.969,4563.56
295,409.6,4575.56
296,410.628,4575.56
297,409.675,4573.56
298,409.202,4573.56
299,411.544,4573.56
300,412.15,4571.56
301,413.267,4575.56
302,414.416,4579.56
303,415.591,4571.56
304,417.047,4577.56
305,418.37,4569.56
306,418.458,4569.56
307,419.892,4579.56
308,421.8,4575.56
309,421.794,4579.56
310,425.753,4581.56
311,427.937,4581.56
312,429.755,4581.56
313,430.187,4581.56
314,431.052,4583.56
315,432.027,4583.56
316,433.404,4583.56
317,435.969,4589.56
318,437.21,4585.56
319,437.987,4589.56
320,438.849,4585.56
321,440.754,4579.56
322,442.551,4587.56
323,443.344,4579.56
324,444.096,4585.56
325,445.602,4589.56
326,446.669,4589.56
327,446.947,4581.56
328,450.417,4595.56
329,452.721,4591.56
330,453.132,4591.56
331,454.254,4593.56
332,455.304,4597.56
333,456.332,4597.56
334,458.328,4589.56
335,457.915,3575.56
336,461.193,3575.56
337,462.174,3575.56
338,463.463,3569.56
339,463.81,3565.56
340,464.732,3567.56
341,466.668,3577.56
342,467.88,3579.56
343,467.453,3567.56
344,469.055,3575.56
345,469.763,3569.56
346,473.755,3577.56
347,475.486,3573.56
348,477.419,3569.56
349,478.259,3579.56
350,479.061,3571.56
351,479.705,3571.56
352,482.753,3585.56
353,484.009,3581.56
354,486.453,3585.56
355,487.168,4605.56
356,487.88,4607.56
357,489.618,4601.56
358,490.565,4599.56
359,490.149,4601.56
360,492.309,4609.56
361,493.42,4601.56
362,495.116,4605.56
363,495.653,4615.56
364,500.427,4611.56
365,500.975,4611.56
366,503.276,4613.56
367,503.449,4613.56
368,505.125,4617.56
369,505.947,4605.56
370,506.25,4607.56
371,507.428,4619.56
372,508.4,4615.56
373,510.543,4617.56
374,512.002,4617.56
375,511.993,4617.56
376,514.601,4621.56
377,515.659,4615.56
378,515.689,4623.56
379,516.624,4623.56
380,518.907,4625.56
381,519.908,4617.56
382,519.687,4625.56
383,521.705,4613.56
384,524.683,4615.56
385,526.143,4627.56
386,526.701,4623.56
387,528.662,4621.56
388,529.514,4625.56
389,528.994,3597.56
390,530.303,3601.56
391,530.338,3603.56
392,532.516,3607.56
393,533.556,3607.56
394,535.284,3605.56
395,535.513,3605.56
396,536.417,3609.56
397,538.033,3605.56
398,538.818,3607.56
399,538.886,3611.56
400,541.828,3607.56
401,545.415,3613.56
402,546.934,3609.56
403,547.916,3613.56
404,549.609,3609.56
405,550.526,3603.56
406,552.195,3611.56
407,552.002,3605.56
408,554.372,3609.56
409,554.816,3607.56
410,556.323,3613.56
411,556.177,3615.56
412,558.222,3607.56
413,559.677,3615.56
414,560.286,3611.56
415,560.387,3613.56
416,562.734,3617.56
417,564.446,3609.56
418,564.183,3623.56
419,569.102,3619.56
420,570.276,3619.56
421,571.909,3619.56
422,572.854,3617.56
423,572.445,3621.56
424,575.107,3617.56
425,576.544,3619.56
426,576.873,3623.56
427,576.918,3623.56
428,578.754,3615.56
429,579.661,3621.56
430,582.036,3621.56
431,581.826,3625.56
432,584.363,3623.56
433,584.933,3623.56
434,587.061,3627.56
435,586.768,3627.56
436,588.965,4657.56
437,594.039,4657.56
438,595.318,4645.56
439,594.641,4659.56
440,597.273,4659.56
441,597.959,4647.56
442,599.674,4655.56
443,600.218,4657.56
444,617.518,10801.6
445,623.811,10797.6
446,631.394,10803.6
447,626.789,10807.6
448,634.699,10807.6
449,629.706,10807.6
450,621.202,10801.6
451,616.432,10797.6
452,623.104,10797.6
453,635.346,10799.6
454,625.065,10799.6
455,637.547,10811.6
456,625.062,10799.6
457,646.208,10813.6
458,632.563,10801.6
459,642.81,10801.6
460,638.909,10803.6
461,635.82,10803.6
462,650.368,10815.6
463,632.109,10803.6
464,635.134,10805.6
465,650.522,10813.6
466,651.573,10813.6
467,655.871,10815.6
468,658.475,10815.6
469,650.383,10807.6
470,660.413,10815.6
471,655.718,10817.6
472,657.156,10817.6
473,658.452,10809.6
474,662.8,10823.6
475,659.16,10815.6
476,665.732,10819.6
477,666.581,10819.6
478,667.329,10817.6
479,658.059,10813.6
480,663.172,10813.6
481,671.341,10827.6
482,675.874,10823.6
483,672.521,10823.6
484,672.575,10823.6
485,679.995,10825.6
486,671.242,10817.6
487,661.423,10817.6
488,669.764,10823.6
489,679.365,10823.6
490,680.678,10823.6
491,677.117,10823.6
492,680.666,10821.6
493,670.963,10825.6
494,674.214,10821.6
495,683.225,10823.6
496,689.862,10823.6
497,685.955,10823.6
498,682.424,10827.6
499,689.11,10837.6
500,680.331,10825.6
501,696.952,10825.6
502,683.962,10827.6
503,687.482,10839.6
504,694.176,10827.6
505,696.629,10835.6
506,696.429,10841.6
507,701.698,10833.6
508,703.123,10841.6
509,707.783,10839.6
510,703.685,10839.6
511,704.673,10843.6
512,711.043,10839.6
513,706.733,10833.6
514,707.812,10845.6
515,710.049,10841.6
516,720.131,10843.6
517,716.697,10837.6
518,707.424,9819.56
519,707.387,9817.56
520,703.773,9813.56
521,704.689,9825.56
522,705.823,9813.56
523,706.991,9815.56
524,713.262,9827.56
525,714.71,9819.56
526,712.54,9829.56
527,711.128,9825.56
528,720.297,9821.56
529,716.839,9825.56
530,717.512,9831.56
531,719.988,9831.56
532,724.438,9831.56
533,721.442,9829.56
534,723.58,9833.56
535,723.099,9833.56
536,733.406,9833.56
537,735.401,9835.56
538,731.304,9835.56
539,732.509,9835.56
540,729.241,9833.56
541,730.508,9833.56
542,736.287,9837.56
543,740.369,9837.56
544,735.216,9827.56
545,740.304,9839.56
546,743.983,9839.56
547,740.207,9837.56
548,745.148,9841.56
549,743.107,9837.56
550,747.986,9841.56
551,744.464,9835.56
552,747.009,9839.56
553,752.157,9843.56
554,749.236,9833.56
555,754.11,9845.56
556,756.066,9837.56
557,752.657,9841.56
558,753.946,9835.56
559,753.934,9835.56
560,755.642,9839.56
561,755.34,9837.56
562,757.476,9845.56
563,759.227,9845.56
564,762.071,9841.56
565,763.738,9847.56
566,764.466,9847.56
567,765.844,9847.56
568,767.304,9849.56
569,767.672,9841.56
570,769.237,9849.56
571,770.487,9841.56
572,772.685,9843.56
573,772.954,9843.56
574,778.818,9851.56
575,774.915,9853.56
576,785.071,9853.56
577,787.734,8825.56
578,788.317,8825.56
579,789.689,8827.56
580,790.459,8823.56
581,792.702,8831.56
582,794.086,8833.56
583,795.265,8833.56
584,807.399,10885.6
585,808.628,10873.6
586,802.643,10875.6
587,808.943,10879.6
588,809.108,10879.6
589,815.045,11905.6
590,812.712,10885.6
591,805.939,10879.6
592,806.837,8841.56
593,807.707,7819.56
594,808.579,7811.56
595,809.859,7819.56
596,810.517,7821.56
597,813.26,8841.56
598,813.757,8845.56
599,813.878,8841.56
600,816.132,8843.56
601,819.762,8847.56
602,819.878,8843.56
603,822.399,8849.56
604,824.468,8849.56
605,825.223,8845.56
606,830.305,8849.56
607,825.991,8847.56
608,828.077,8851.56
609,829.315,8851.56
610,829.993,8853.56
611,832.007,8841.56
612,833.23,8841.56
613,833.375,8849.56
614,835.684,8851.56
615,837.117,8843.56
616,842.472,8855.56
617,838.891,8857.56
618,845.92,8857.56
619,843.6,8857.56
620,844.773,8859.56
621,845.282,8859.56
622,846.947,8855.56
623,849.209,8855.56
624,850.123,8857.56
625,850.177,8857.56
626,853.1,8853.56
627,853.302,8855.56
628,852.875,8859.56
629,855.506,8851.56
630,855.945,8855.56
631,857.591,8857.56
632,858.232,8861.56
633,859.855,8857.56
634,859.775,8855.56
635,861.925,8863.56
636,862.097,8855.56
637,866.924,8855.56
638,868.897,8861.56
639,869.734,8861.56
640,871.905,8861.56
641,871.924,8871.56
642,873.811,8871.56
643,875.016,8863.56
644,875.47,8863.56
645,876.848,8873.56
646,879.349,8865.56
647,878.838,8865.56
648,880.229,8875.56
649,880.121,8863.56
650,882.097,8875.56
651,883.133,8867.56
652,884.582,8877.56
653,884.775,8869.56
654,886.61,8877.56
655,891.456,8879.56
656,891.394,8871.56
657,893.198,8879.56
658,894.962,8879.56
659,896.272,8881.56
660,897.646,8873.56
661,897.625,8881.56
662,898.518,8883.56
663,899.05,8883.56
664,900.44,8883.56
665,901.499,8883.56
666,902.889,8885.56
667,903.831,8877.56
668,905.293,8885.56
669,906.254,8879.56
670,907.734,8879.56
671,907.58,8887.56
672,909.038,8887.56
673,911.203,8881.56
674,913.038,8889.56
675,914.596,8877.56
676,916.15,8879.56
677,915.74,8879.56
678,917.406,8891.56
679,917.766,8891.56
680,920.8,8885.56
681,922.246,8885.56
682,923.223,8893.56
683,923.769,8895.56
684,925.449,8887.56
685,927.354,8883.56
686,926.681,8887.56
687,927.812,8889.56
688,928.481,8889.56
689,930.284,8897.56
690,931.41,8891.56
691,933.665,8891.56
692,936.844,8887.56
693,938.511,8891.56
694,939.807,8901.56
695,941.074,8901.56
696,941.774,8889.56
697,942.286,8895.56
698,943.45,8895.56
699,945.994,8895.56
700,945.894,8895.56
701,947.558,8897.56
702,948.528,8893.56
703,949.549,8905.56
704,950.202,8907.56
705,951.555,8899.56
706,953.173,8895.56
707,954.366,8895.56
708,955.532,8897.56
709,957.941,8897.56
710,961.468,8909.56
711,961.933,8911.56
712,963.605,8899.56
713,964.234,8899.56
714,965.615,8911.56
715,967.647,8905.56
716,967.878,8913.56
717,969.928,8913.56
718,969.951,8903.56
719,972.378,8907.56
720,972.25,8915.56
721,974.983,8917.56
722,976.96,8905.56
723,977.618,8917.56
724,978.787,8909.56
725,980.405,8911.56
726,979.491,8911.56
727,982.131,8919.56
728,984.213,8921.56
729,986.513,8913.56
730,987.229,8909.56
731,987.685,8913.56
732,989.298,8915.56
733,990.064,8911.56
734,992.307,8923.56
735,993.739,8925.56
736,993.886,8917.56
737,996.72,8913.56
738,996.151,8913.56
739,998.178,8927.56
740,998.597,8927.56
741,1000.26,8919.56
742,1002.63,8917.56
743,1002.75,8929.56
744,1002.5,8917.56
745,1004.92,8921.56
746,1008.09,8931.56
747,1010.04,8931.56
748,1011.53,8931.56
749,1012.76,8933.56
750,1013.76,8933.56
751,1015.27,8925.56
752,1015.32,8925.56
753,1016.78,8927.56
754,1017.04,8927.56
755,1019.68,8927.56
756,1019,8925.56
757,1021.36,8929.56
758,1022.5,8929.56
759,1023.17,8929.56
760,1026.04,8931.56
761,1025.55,8927.56
762,1027.63,8927.56
763,1029.97,8941.56
764,1030.03,8941.56
765,1033.45,8933.56
766,1034.37,8929.56
767,1034.94,8931.56
768,1037.24,8931.56
769,1037.51,8931.56
770,1037.58,8945.56
771,1039.99,8937.56
772,1041.58,8933.56
773,1042.86,8933.56
774,1043.08,8947.56
775,1045.45,8947.56
776,1047.14,8939.56
777,1046.71,8941.56
778,1048.33,8949.56
779,1050.28,8941.56
780,1050.36,8937.56
781,1051.36,8951.56
782,1053,8939.56
783,1056.94,8943.56
784,1058.19,8953.56
785,1058.72,8945.56
786,1060.45,8953.56
787,1061.99,8945.56
788,1062.76,8943.56
789,1063.13,8955.56
790,1065.08,8947.56
791,1065.57,8957.56
792,1067.1,8957.56
793,1069.03,8945.56
794,1069.3,8957.56
795,1071.07,8947.56
796,1071.87,8959.56
797,1072.12,8959.56
798,1074.87,8949.56
799,1075.32,8957.56
800,1077.68,8949.56
801,1078.94,8949.56
802,1080.64,8963.56
803,1083.21,8951.56
804,1084.36,8963.56
805,1084.94,8965.56
806,1085.75,8965.56
807,1087.91,8957.56
808,1087.99,8965.56
809,1089.86,8959.56
810,1090.21,8959.56
811,1092.16,8967.56
812,1092.98,8961.56
813,1094.32,8961.56
814,1095.32,8961.56
815,1096.21,8957.56
816,1097.54,8959.56
817,1097.96,8963.56
818,1100.32,8971.56
819,1102.88,8961.56
820,1105.59,8961.56
821,1106.26,8965.56
822,1106.53,8967.56
823,1107.47,8967.56
824,1108.27,8975.56
825,1109.34,8967.56
826,1111.12,8965.56
827,1113.09,8965.56
828,1113.63,8965.56
829,1115.75,8967.56
830,1116.6,8971.56
831,1117.57,8967.56
832,1115.89,6931.56
833,1116.45,6925.56
834,1118.48,6925.56
835,1118.97,6925.56
836,1120.62,6927.56
837,1123.82,6923.56
838,1126.1,6923.56
839,1126.2,6923.56
840,1126.85,6929.56
841,1129.72,6925.56
842,1130.79,6925.56
843,1131.73,6931.56
844,1132.69,6927.56
845,1133.92,6939.56
846,1135.36,6927.56
847,1135.53,6929.56
848,1136.24,6933.56
849,1138.03,6929.56
850,1138.88,6931.56
851,1141.66,6935.56
852,1142.76,6931.56
853,1143.04,6935.56
854,1143.19,6945.56
855,1144.95,6937.56
856,1147.99,6933.56
857,1149.37,6947.56
858,1151.33,6947.56
859,1152.71,6939.56
860,1155.09,6939.56
861,1155.05,6941.56
862,1156.07,6937.56
863,1157.75,6941.56
864,1158.33,6943.56
865,1160.79,6943.56
866,1161.06,6943.56
867,1162.69,6943.56
868,1163.97,6945.56
869,1165.16,6941.56
870,1166.94,6941.56
871,1169.93,8991.56
872,1170.81,8995.56
873,1172.03,8995.56
874,1175.17,8991.56
875,1177.05,8993.56
876,1178.17,8993.56
877,1179.32,8997.56
878,1180.21,9007.56
879,1179.69,8999.56
880,1182.33,8999.56
881,1183,8999.56
882,1185.87,8997.56
883,1185.9,8997.56
884,1187.16,9001.56
885,1189.84,9003.56
886,1188.86,9003.56
887,1190.4,8999.56888,1318.6,20275.6
889,1311.05,20273.6
890,1343.66,21297.6
891,1327.17,21297.6
892,1332.36,21811.6
893,1346.73,21811.6
894,1365.5,21811.6
895,1353.02,21811.6
896,1360.04,21813.6
897,1379.56,21813.6
898,1371.01,21817.6
899,1374.19,21815.6
900,1365.57,21811.6
901,1375.55,21819.6
902,1375.03,21815.6
903,1372.32,21817.6
904,1383.26,21809.6
905,1381.11,21813.6
906,1384.27,21819.6
907,1386.5,21819.6
908,1386.19,21823.6
909,1383.53,21815.6
910,1394.41,21821.6
911,1397.01,21821.6
912,1396.17,21825.6
913,1406.95,21815.6
914,1411.2,21823.6
915,1409.9,21819.6
916,1413.39,21823.6
917,1406.36,21829.6
918,1405.51,21825.6
919,1410.33,21829.6
920,1406.29,21827.6
921,1410.59,21831.6
922,1413.11,21831.6
923,1407.26,21829.6
924,1400.96,21821.6
925,1402.66,21829.6
926,1417.86,21825.6
927,1411.28,21831.6
928,1419.79,21831.6
929,1416.73,21835.6
930,1423.48,21829.6
931,1417.64,21833.6
932,1411.5,21833.6
933,1423.07,21833.6
934,1418.46,21835.6
935,1412.53,21831.6
936,1412.95,21831.6
937,1419.77,21841.6
938,1421.48,21829.6
939,1425.7,21829.6
940,1436.16,21837.6
941,1422.63,21839.6
942,1424.26,21839.6
943,1416.6,21831.6
944,1414.21,21833.6
945,1435.17,21841.6
946,1441.87,21841.6
947,1435.11,21837.6
948,1430.64,21843.6
949,1430.38,21843.6
950,1433.85,21843.6
951,1453.31,21849.6
952,1448.15,21845.6
953,1447.07,21837.6
954,1448.25,21845.6
955,1445.98,21839.6
956,1468.66,21851.6
957,1455.81,21847.6
958,1471.68,21849.6
959,1470.63,21849.6
960,1464.74,21853.6
961,1475.17,21849.6
962,1469.21,21851.6
963,1481.9,21855.6
964,1474.63,21855.6
965,1474.63,21853.6
966,1484.61,21857.6
967,1469.37,21853.6
968,1473.79,21853.6
969,1486.21,21859.6
970,1480.4,21847.6
971,1481.36,21855.6
972,1495.31,21853.6
973,1473.12,21861.6
974,1491.61,21857.6
975,1479.82,21853.6
976,1491.3,21859.6
977,1499.05,21859.6
978,1492.11,21859.6
979,1488.51,21861.6
980,1491.05,21861.6
981,1497.44,21861.6
982,1501.19,21857.6
983,1497.02,21859.6
984,1487.1,21863.6
985,1491.43,21863.6
986,1487.67,21861.6
987,1499.04,21865.6
988,1499.62,21865.6
989,1493.24,21865.6
990,1498.5,21867.6
991,1498.63,21863.6
992,1506.52,21871.6
993,1500.05,21873.6
994,1524.73,21869.6
995,1511.43,21869.6
996,1506.02,21869.6
997,1514.31,21871.6
998,1511.03,21863.6
999,1510.68,21875.6
1000,1520.87,21877.6
1001,1515.38,21873.6
1002,1516.64,21873.6
1003,1516.77,21873.6
1004,1516.02,21879.6
1005,1518.97,21879.6
1006,1534.21,21867.6
1007,1534.25,21873.6
1008,1516.25,21881.6
1009,1516.88,21873.6
1010,1521.67,21877.6
1011,1529.87,21883.6
1012,1519.6,21879.6
1013,1527.7,21879.6
1014,1530.14,21885.6
1015,1522.86,21873.6
1016,1524.12,21877.6
1017,1540.04,21885.6
1018,1534.97,21883.6
1019,1534.45,21883.6
1020,1535.09,21879.6
1021,1536.01,21885.6
1022,1549.63,21885.6
1023,1540.17,21885.6
1024,1542.09,21889.6
